domain,size,distribution,strategy,covariate,antithetic,samples,repeats,mean_l2_error,std_l2_error,ci95_low,ci95_high
sorting,n=5,Logistic,QMC-latin,LOO,False,1024,64,0.07356045606539785,0.007684334133367694,0.07164096651027477,0.07547994562052093
sorting,n=5,Logistic,QMC-latin,none,True,1024,64,0.07707429220797245,0.00840263521737296,0.07497537638061133,0.07917320803533356
sorting,n=5,Logistic,QMC-latin,f(x),True,1024,64,0.07707429220797245,0.00840263521737296,0.07497537638061133,0.07917320803533356
sorting,n=5,Logistic,QMC-latin,LOO,True,1024,64,0.0771476220988663,0.00841294805703333,0.07504613020080496,0.07924911399692765
sorting,n=5,Logistic,RQMC-latin,none,False,1024,64,0.07230362734474749,0.006748096218811433,0.07061800306238726,0.07398925162710772
sorting,n=5,Logistic,RQMC-latin,f(x),False,1024,64,0.07230354575754122,0.0067488133560889285,0.07061774233961897,0.07398934917546347
sorting,n=5,Logistic,RQMC-latin,LOO,False,1024,64,0.07237653850937972,0.006758911093406682,0.07068821275172375,0.0740648642670357
sorting,n=5,Logistic,RQMC-latin,none,True,1024,64,0.0749607362752516,0.009619571388455182,0.07255783883684878,0.07736363371365441
sorting,n=5,Logistic,RQMC-latin,f(x),True,1024,64,0.0749607362752516,0.00961957138845518,0.07255783883684878,0.07736363371365441
sorting,n=5,Logistic,RQMC-latin,LOO,True,1024,64,0.07503413681750395,0.009634442106403627,0.07262752478427954,0.07744074885072837
sorting,n=5,Logistic,RQMC-cartesian,none,False,1024,64,0.05752187863694678,0.005045434950072136,0.05626156648502425,0.05878219078886931
sorting,n=5,Logistic,RQMC-cartesian,f(x),False,1024,64,0.05951480512351244,0.0060400532401249565,0.05800604471492176,0.06102356553210312
sorting,n=5,Logistic,RQMC-cartesian,LOO,False,1024,64,0.0567563077447842,0.00515645763506372,0.05546826295129189,0.05804435253827651
sorting,n=5,Gumbel,MC,none,False,1024,64,0.14740882488314055,0.017897887010672856,0.1429380657282802,0.15187958403800092
sorting,n=5,Gumbel,MC,f(x),False,1024,64,0.1772254760305897,0.032586070464254914,0.1690857178143199,0.18536523424685947
sorting,n=5,Gumbel,MC,LOO,False,1024,64,0.13000620817533826,0.0141058036103924,0.12648268327040293,0.13352973308027358
sorting,n=5,Gumbel,QMC-latin,none,False,1024,64,0.12476461507876997,0.01150867844108602,0.1218898327388129,0.12763939741872704
sorting,n=5,Gumbel,QMC-latin,f(x),False,1024,64,0.12474531059712593,0.011465596752633051,0.12188128974275333,0.12760933145149853
sorting,n=5,Gumbel,QMC-latin,LOO,False,1024,64,0.1248846122026003,0.011505095162366096,0.12201072493903588,0.12775849946616474
sorting,n=5,Gumbel,RQMC-latin,none,False,1024,64,0.1244402068180471,0.012958702986032212,0.12120321912361301,0.1276771945124812
sorting,n=5,Gumbel,RQMC-latin,f(x),False,1024,64,0.12431573951861162,0.012884360484310268,0.12109732202858045,0.1275341570086428
sorting,n=5,Gumbel,RQMC-latin,LOO,False,1024,64,0.12451355337906257,0.012970849295030604,0.12127353162691429,0.12775357513121086
sorting,n=5,Gumbel,RQMC-cartesian,none,False,1024,64,0.11277060869229721,0.011190281067504913,0.10997535964987254,0.11556585773472189
sorting,n=5,Gumbel,RQMC-cartesian,f(x),False,1024,64,0.1249698964121888,0.017670993487208318,0.12055581357317526,0.12938397925120235
sorting,n=5,Gumbel,RQMC-cartesian,LOO,False,1024,64,0.10604360142574334,0.010423751635742691,0.10343982573838441,0.10864737711310228
sorting,n=5,Cauchy,MC,none,False,1024,64,0.10847377261775137,0.009628380237197151,0.10606867479440181,0.11087887044110094
sorting,n=5,Cauchy,MC,f(x),False,1024,64,0.1305995264852867,0.0201176668300716,0.1255742828293546,0.1356247701412188
sorting,n=5,Cauchy,MC,LOO,False,1024,64,0.09631972140694518,0.007499736705341549,0.09444634291738081,0.09819309989650955
sorting,n=5,Cauchy,MC,none,True,1024,64,0.09990626704959592,0.008747680869686806,0.09772116138272989,0.10209137271646195
sorting,n=5,Cauchy,MC,f(x),True,1024,64,0.0999062670495959,0.008747680869686806,0.09772116138272988,0.10209137271646193
sorting,n=5,Cauchy,MC,LOO,True,1024,64,0.1000105247630665,0.008758746590830738,0.0978226549613012,0.1021983945648318
sorting,n=5,Cauchy,QMC-latin,none,False,1024,64,0.09286205425128294,0.00840994168406384,0.09076131332284544,0.09496279517972044
sorting,n=5,Cauchy,QMC-latin,f(x),False,1024,64,0.09286205425128294,0.00840994168406384,0.09076131332284544,0.09496279517972044
sorting,n=5,Cauchy,QMC-latin,LOO,False,1024,64,0.09295380869948325,0.008416726094872666,0.09085137307564871,0.09505624432331779
sorting,n=5,Cauchy,QMC-latin,none,True,1024,64,0.09761971110138959,0.010358358536007266,0.09503227012433095,0.10020715207844823
sorting,n=5,Cauchy,QMC-latin,f(x),True,1024,64,0.09761971110138959,0.010358358536007264,0.09503227012433095,0.10020715207844823
sorting,n=5,Cauchy,QMC-latin,LOO,True,1024,64,0.09771833077281747,0.010370674435889992,0.09512781337550218,0.10030884817013276
sorting,n=5,Cauchy,RQMC-latin,none,False,1024,64,0.09348359445177329,0.008991603665350522,0.09123755868342978,0.0957296302201168
sorting,n=5,Cauchy,RQMC-latin,f(x),False,1024,64,0.0934808799612554,0.008988242134924199,0.09123568387822888,0.09572607604428192
sorting,n=5,Cauchy,RQMC-latin,LOO,False,1024,64,0.09357607380179112,0.009008577430308482,0.09132579811311327,0.09582634949046896
sorting,n=5,Cauchy,RQMC-latin,none,True,1024,64,0.0979571209854492,0.009617661080224596,0.09555470072784462,0.10035954124305378
sorting,n=5,Cauchy,RQMC-latin,f(x),True,1024,64,0.09795712098544919,0.009617661080224596,0.09555470072784461,0.10035954124305377
sorting,n=5,Cauchy,RQMC-latin,LOO,True,1024,64,0.09806026864970366,0.009617523269061087,0.09565788281630348,0.10046265448310383
